Game,Home,P_home_win,P_away_win,Actual_score_diff,Pred_score_diff,P_pred_score,P_played
1,PAR,1,0,4,6,0,1
2,PAR,0,1,-12,6,0,1
3,MON,0,1,-11,1,0,1
4,MON,1,0,12,1,0,1
5,PAR,0.658,0.34199999999999997,NA,5,0.032,1
