Game,Home,P_home_win,P_away_win,Actual_score_diff,Pred_score_diff,P_pred_score,P_played
1,PAR,1,0,4,6,0,1
2,PAR,0,1,-12,6,0,1
3,MON,0,1,-11,1,0,1
4,MON,0.535,0.46499999999999997,NA,1,0.031,1
5,PAR,0.665,0.33499999999999996,NA,5,0.032,0.535
