Game,Home,P_home_win,P_away_win,Pred_score_diff,P_pred_score,P_played
1,PAR,0.683,0.31699999999999995,6,0.031,1
2,PAR,0.666,0.33399999999999996,6,0.029,1
3,MON,0.533,0.46699999999999997,1,0.029,1
4,MON,0.535,0.46499999999999997,1,0.028,0.722
5,PAR,0.675,0.32499999999999996,6,0.036,0.368
