Game,Home,P_home_win,P_away_win,Pred_score_diff,P_pred_score,P_played
1,PAR,0.701,0.29900000000000004,7,0.033,1
2,PAR,0.689,0.31100000000000005,7,0.028,1
3,MON,0.49,0.51,-1,0.029,1
4,MON,0.49,0.51,-0,0.028,0.684
5,PAR,0.699,0.30100000000000005,6,0.034,0.335
