Game,Home,P_home_win,P_away_win,Actual_score_diff,Pred_score_diff,P_pred_score,P_played
1,PAR,1,0,4,6,0,1
2,PAR,0.68,0.31999999999999995,NA,6,0.03,1
3,MON,0.53,0.47,NA,1,0.031,1
4,MON,0.531,0.469,NA,1,0.03,0.683
5,PAR,0.672,0.32799999999999996,NA,6,0.028,0.349
